--- 矩阵序号 1 ---
-0.73909020, -0.74153388, -0.74066526, -0.74102116, -0.73870856, -0.74878585, -0.77096051, -0.77562964, -0.77731472
-0.73973870, -0.74161911, -0.74312305, -0.74408925, -0.74728382, -0.76290822, -0.77200568, -0.77806449, -0.78120887
-0.74363416, -0.74051917, -0.73962647, -0.74700320, -0.77335560, -0.77390957, -0.78113675, -0.78245878, -0.78173792
-0.74142635, -0.74011314, -0.73755693, -0.74377298, -0.76737487, -0.77490467, -0.78122425, -0.78435922, -0.78159094
-0.73987603, -0.73902166, -0.73550892, -0.73791248, -0.75085783, -0.77627856, -0.78024858, -0.78073990, -0.78051013
-0.74020410, -0.73980939, -0.73788631, -0.74896765, -0.74266165, -0.75948644, -0.76839828, -0.76925194, -0.75120866
-0.73776418, -0.73952448, -0.74185210, -0.75514120, -0.70097834, -0.68791294, -0.68583345, -0.75252134, -0.74453264
-0.74124169, -0.73566419, -0.74163085, -0.76030195, -0.73045146, -0.69958359, -0.69776380, -0.68960422, -0.73471349
-0.74579507, -0.73830223, -0.75119174, -0.77207059, -0.77143091, -0.74372417, -0.73375034, -0.73515874, -0.73849469
-0.75759959, -0.75482166, -0.75874764, -0.77070558, -0.77203554, -0.77404314, -0.77349168, -0.75748348, -0.74923426
-0.73267895, -0.76836765, -0.77093911, -0.77185094, -0.77264017, -0.77745020, -0.77700156, -0.76892972, -0.75414002
-0.68113917, -0.75072402, -0.75884688, -0.77224135, -0.77093148, -0.76430774, -0.77385509, -0.77172554, -0.75891149
-0.75096422, -0.61498731, -0.62408155, -0.74455148, -0.74292928, -0.66770762, -0.59286898, -0.76955271, -0.77065307


--- 矩阵序号 5 ---
-0.73909122, -0.74386340, -0.74072534, -0.74298811, -0.74499869, -0.73896182, -0.74228048, -0.73982513, -0.73592144
-0.74146008, -0.74264926, -0.74199009, -0.73925972, -0.74034464, -0.74136662, -0.74305201, -0.74092197, -0.74133444
-0.73880601, -0.73953706, -0.74104232, -0.74023247, -0.74078208, -0.74237692, -0.74118114, -0.74082756, -0.74152470
-0.73723620, -0.73716623, -0.74022484, -0.74103820, -0.73967779, -0.73968786, -0.73952341, -0.73869187, -0.74296874
-0.73814404, -0.73894882, -0.74027431, -0.74230778, -0.73552203, -0.73554182, -0.73654288, -0.73656595, -0.74311203
-0.73482257, -0.74063873, -0.74169081, -0.73941064, -0.73622048, -0.74011797, -0.74193740, -0.73913646, -0.74536264
-0.74113441, -0.74106920, -0.74154693, -0.73916817, -0.73678935, -0.74061000, -0.74049640, -0.74396431, -0.77086949
-0.73913372, -0.73960006, -0.73805720, -0.73803455, -0.73626947, -0.73832810, -0.74225569, -0.75503254, -0.77053159
-0.73670858, -0.73486555, -0.73719203, -0.73697162, -0.73599553, -0.73639762, -0.74078375, -0.76053321, -0.76457846
